"","x"
"1","CNS"
"2","CNS"
"3","CNS"
"4","RENAL"
"5","BREAST"
"6","CNS"
"7","CNS"
"8","BREAST"
"9","NSCLC"
"10","NSCLC"
"11","RENAL"
"12","RENAL"
"13","RENAL"
"14","RENAL"
"15","RENAL"
"16","RENAL"
"17","RENAL"
"18","BREAST"
"19","NSCLC"
"20","RENAL"
"21","UNKNOWN"
"22","OVARIAN"
"23","MELANOMA"
"24","PROSTATE"
"25","OVARIAN"
"26","OVARIAN"
"27","OVARIAN"
"28","OVARIAN"
"29","OVARIAN"
"30","PROSTATE"
"31","NSCLC"
"32","NSCLC"
"33","NSCLC"
"34","LEUKEMIA"
"35","K562B-repro"
"36","K562A-repro"
"37","LEUKEMIA"
"38","LEUKEMIA"
"39","LEUKEMIA"
"40","LEUKEMIA"
"41","LEUKEMIA"
"42","COLON"
"43","COLON"
"44","COLON"
"45","COLON"
"46","COLON"
"47","COLON"
"48","COLON"
"49","MCF7A-repro"
"50","BREAST"
"51","MCF7D-repro"
"52","BREAST"
"53","NSCLC"
"54","NSCLC"
"55","NSCLC"
"56","MELANOMA"
"57","BREAST"
"58","BREAST"
"59","MELANOMA"
"60","MELANOMA"
"61","MELANOMA"
"62","MELANOMA"
"63","MELANOMA"
"64","MELANOMA"
