"","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","LeagueN","DivisionW","PutOuts","Assists","Errors","NewLeagueN"
"-Darryl Strawberry",475,123,27,76,93,72,4,1810,471,108,292,343,267,1,0,226,10,6,1
"-Glenn Wilson",584,158,15,70,84,42,5,2358,636,58,265,316,134,1,0,331,20,4,1
"-Leon Durham",484,127,20,66,65,67,7,3006,844,116,436,458,377,1,0,1231,80,7,1
"-Tony Gwynn",642,211,14,107,59,52,5,2364,770,27,352,230,193,1,1,337,19,4,1
"-Dave Concepcion",311,81,3,42,30,26,17,8247,2198,100,950,909,690,1,1,153,223,10,1
"-Tom Brookens",281,76,3,42,25,20,8,2658,657,48,324,300,179,0,0,106,144,7,0
"-Tim Laudner",193,47,10,21,29,24,6,1136,256,42,129,139,106,0,1,299,13,5,0
"-Mike Marshall",330,77,19,47,53,27,6,1928,516,90,247,288,161,1,1,149,8,6,1
"-Marty Barrett",625,179,4,94,60,65,5,1696,476,12,216,163,166,0,0,303,450,14,0
"-Buddy Biancalana",190,46,2,24,8,15,5,479,102,5,65,23,39,0,1,102,177,16,0
"-Willie McGee",497,127,7,65,48,37,5,2703,806,32,379,311,138,1,0,325,9,3,1
"-Cal Ripken",627,177,25,98,81,70,6,3210,927,133,529,472,313,0,0,240,482,13,0
"-Mike Schmidt",20,1,0,0,0,0,2,41,9,2,6,7,4,1,0,78,220,6,1
"-Gary Ward",380,120,5,54,51,31,8,3118,900,92,444,419,240,0,1,237,8,1,0
"-Rafael Belliard",309,72,0,33,31,26,5,354,82,0,41,32,26,1,0,117,269,12,1
"-Jim Presley",616,163,27,83,107,32,3,1437,377,65,181,227,82,0,1,110,308,15,0
"-Mookie Wilson",381,110,9,61,45,32,7,3015,834,40,451,249,168,1,0,228,7,5,1
"-Tony Pena",510,147,10,56,52,53,7,2872,821,63,307,340,174,1,0,810,99,18,1
"-Gary Redus",340,84,11,62,33,47,5,1516,376,42,284,141,219,1,0,185,8,4,0
"-Pat Sheridan",236,56,6,41,19,21,5,1257,329,24,166,125,105,0,0,172,1,4,0
"-Steve Lombardozzi",453,103,8,53,33,52,2,507,123,8,63,39,58,0,1,289,407,6,0
"-Darnell Coles",521,142,20,67,86,45,4,815,205,22,99,103,78,0,0,107,242,23,0
"-Larry Sheets",338,92,18,42,60,21,3,682,185,36,88,112,50,0,0,0,0,0,0
"-Bob Melvin",268,60,5,24,25,15,2,350,78,5,34,29,18,1,1,442,59,6,1
"-Dwayne Murphy",329,83,9,50,39,56,9,3828,948,145,575,528,635,0,1,276,6,2,0
"-Graig Nettles",354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,1,1,83,174,16,1
"-Andres Galarraga",321,87,10,39,42,30,2,396,101,12,48,46,33,1,0,805,40,4,1
"-Gary Matthews",370,96,21,49,46,60,15,6986,1972,231,1070,955,921,1,0,137,5,9,1
"-Rick Manning",205,52,8,31,27,17,12,5134,1323,56,643,445,459,0,0,155,3,2,0
"-George Bell",641,198,31,101,108,41,5,2129,610,92,297,319,117,0,0,269,17,10,0
"-Jody Davis",528,132,21,61,74,41,6,2641,671,97,273,383,226,1,0,885,105,8,1
"-Keith Hernandez",551,171,13,94,83,94,13,6090,1840,128,969,900,917,1,0,1199,149,5,1
"-Julio Franco",599,183,10,80,74,32,5,2482,715,27,330,326,158,0,0,231,374,18,0
"-Carmelo Martinez",244,58,9,28,25,35,4,1335,333,49,164,179,194,1,1,142,14,2,1
"-Tom Paciorek",213,61,4,17,22,3,17,4061,1145,83,488,491,244,0,1,178,45,4,0
"-Lee Lacy",491,141,11,77,47,37,15,4291,1240,84,615,430,340,0,0,239,8,2,0
"-Ozzie Guillen",547,137,2,58,47,12,2,1038,271,3,129,80,24,0,1,261,459,22,0
"-Bill Doran",550,152,6,92,37,81,5,2308,633,32,349,182,308,1,1,262,329,16,1
"-Mike Diaz",209,56,12,22,36,19,2,216,58,12,24,37,19,1,0,201,6,3,1
