"","Year","Lag1","Lag2","Lag3","Lag4","Lag5","Volume","Today","Direction"
"1",1990,0.816,1.572,-3.936,-0.229,-3.484,0.154976,-0.27,"Down"
"2",1990,-0.27,0.816,1.572,-3.936,-0.229,0.148574,-2.576,"Down"
"3",1990,-2.576,-0.27,0.816,1.572,-3.936,0.1598375,3.514,"Up"
"4",1990,3.514,-2.576,-0.27,0.816,1.572,0.16163,0.712,"Up"
"5",1990,0.712,3.514,-2.576,-0.27,0.816,0.153728,1.178,"Up"
"6",1990,1.178,0.712,3.514,-2.576,-0.27,0.154444,-1.372,"Down"
"7",1990,-1.372,1.178,0.712,3.514,-2.576,0.151722,0.807,"Up"
"8",1990,0.807,-1.372,1.178,0.712,3.514,0.13231,0.041,"Up"
"9",1990,0.041,0.807,-1.372,1.178,0.712,0.143972,1.253,"Up"
"10",1990,1.253,0.041,0.807,-1.372,1.178,0.133635,-2.678,"Down"
"11",1990,-2.678,1.253,0.041,0.807,-1.372,0.149024,-1.793,"Down"
"12",1990,-1.793,-2.678,1.253,0.041,0.807,0.13579,2.82,"Up"
"13",1990,2.82,-1.793,-2.678,1.253,0.041,0.139898,4.022,"Up"
"14",1990,4.022,2.82,-1.793,-2.678,1.253,0.164342,0.75,"Up"
"15",1990,0.75,4.022,2.82,-1.793,-2.678,0.175648,-0.017,"Down"
"16",1990,-0.017,0.75,4.022,2.82,-1.793,0.16347,2.42,"Up"
"17",1990,2.42,-0.017,0.75,4.022,2.82,0.172625,-1.225,"Down"
"18",1990,-1.225,2.42,-0.017,0.75,4.022,0.168446,1.171,"Up"
"19",1990,1.171,-1.225,2.42,-0.017,0.75,0.155292,-2.061,"Down"
"20",1990,-2.061,1.171,-1.225,2.42,-0.017,0.143392,0.729,"Up"
"21",1990,0.729,-2.061,1.171,-1.225,2.42,0.140554,0.112,"Up"
"22",1990,0.112,0.729,-2.061,1.171,-1.225,0.125075,2.48,"Up"
"23",1990,2.48,0.112,0.729,-2.061,1.171,0.171604,-1.552,"Down"
"24",1990,-1.552,2.48,0.112,0.729,-2.061,0.166956,-2.259,"Down"
"25",1990,-2.259,-1.552,2.48,0.112,0.729,0.171718,-2.428,"Down"
"26",1990,-2.428,-2.259,-1.552,2.48,0.112,0.209816,-2.708,"Down"
"27",1990,-2.708,-2.428,-2.259,-1.552,2.48,0.192706,-2.292,"Down"
"28",1990,-2.292,-2.708,-2.428,-2.259,-1.552,0.148252,-4.978,"Down"
"29",1990,-4.978,-2.292,-2.708,-2.428,-2.259,0.189858,3.547,"Up"
"30",1990,3.547,-4.978,-2.292,-2.708,-2.428,0.127884,0.26,"Up"
"31",1990,0.26,3.547,-4.978,-2.292,-2.708,0.1157425,-2.032,"Down"
"32",1990,-2.032,0.26,3.547,-4.978,-2.292,0.123924,-1.739,"Down"
"33",1990,-1.739,-2.032,0.26,3.547,-4.978,0.149082,-1.693,"Down"
"34",1990,-1.693,-1.739,-2.032,0.26,3.547,0.171856,1.781,"Up"
"35",1990,1.781,-1.693,-1.739,-2.032,0.26,0.16497,-3.682,"Down"
"36",1990,-3.682,1.781,-1.693,-1.739,-2.032,0.156454,4.15,"Up"
"37",1990,4.15,-3.682,1.781,-1.693,-1.739,0.18028,-2.487,"Down"
"38",1990,-2.487,4.15,-3.682,1.781,-1.693,0.143978,2.343,"Up"
"39",1990,2.343,-2.487,4.15,-3.682,1.781,0.154292,0.606,"Up"
"40",1990,0.606,2.343,-2.487,4.15,-3.682,0.148006,1.077,"Up"
"41",1990,1.077,0.606,2.343,-2.487,4.15,0.16355,-0.637,"Down"
"42",1990,-0.637,1.077,0.606,2.343,-2.487,0.1265325,2.26,"Up"
"43",1990,2.26,-0.637,1.077,0.606,2.343,0.151578,1.716,"Up"
