"","Year","Lag1","Lag2","Lag3","Lag4","Lag5","Volume","Today","Direction"
"1",2001,0.381,-0.192,-2.624,-1.055,5.01,1.1913,0.959,"Up"
"2",2001,0.959,0.381,-0.192,-2.624,-1.055,1.2965,1.032,"Up"
"3",2001,1.032,0.959,0.381,-0.192,-2.624,1.4112,-0.623,"Down"
"4",2001,-0.623,1.032,0.959,0.381,-0.192,1.276,0.614,"Up"
"5",2001,0.614,-0.623,1.032,0.959,0.381,1.2057,0.213,"Up"
"6",2001,0.213,0.614,-0.623,1.032,0.959,1.3491,1.392,"Up"
"7",2001,1.392,0.213,0.614,-0.623,1.032,1.445,-0.403,"Down"
"8",2001,-0.403,1.392,0.213,0.614,-0.623,1.4078,0.027,"Up"
"9",2001,0.027,-0.403,1.392,0.213,0.614,1.164,1.303,"Up"
"10",2001,1.303,0.027,-0.403,1.392,0.213,1.2326,0.287,"Up"
"11",2001,0.287,1.303,0.027,-0.403,1.392,1.309,-0.498,"Down"
"12",2001,-0.498,0.287,1.303,0.027,-0.403,1.258,-0.189,"Down"
"13",2001,-0.189,-0.498,0.287,1.303,0.027,1.098,0.68,"Up"
"14",2001,0.68,-0.189,-0.498,0.287,1.303,1.0531,0.701,"Up"
"15",2001,0.701,0.68,-0.189,-0.498,0.287,1.1498,-0.562,"Down"
"16",2001,-0.562,0.701,0.68,-0.189,-0.498,1.2953,0.546,"Up"
"17",2001,0.546,-0.562,0.701,0.68,-0.189,1.1188,-1.747,"Down"
"18",2001,-1.747,0.546,-0.562,0.701,0.68,1.0484,0.359,"Up"
"19",2001,0.359,-1.747,0.546,-0.562,0.701,1.013,-0.151,"Down"
"20",2001,-0.151,0.359,-1.747,0.546,-0.562,1.0596,-0.841,"Down"
"21",2001,-0.841,-0.151,0.359,-1.747,0.546,1.1583,-0.623,"Down"
"22",2001,-0.623,-0.841,-0.151,0.359,-1.747,1.1072,-1.334,"Down"
"23",2001,-1.334,-0.623,-0.841,-0.151,0.359,1.0755,1.183,"Up"
"24",2001,1.183,-1.334,-0.623,-0.841,-0.151,1.0391,-0.865,"Down"
"25",2001,-0.865,1.183,-1.334,-0.623,-0.841,1.0752,-0.218,"Down"
"26",2001,-0.218,-0.865,1.183,-1.334,-0.623,1.1503,0.812,"Up"
"27",2001,0.812,-0.218,-0.865,1.183,-1.334,1.1537,-1.891,"Down"
"28",2001,-1.891,0.812,-0.218,-0.865,1.183,1.2572,-1.736,"Down"
"29",2001,-1.736,-1.891,0.812,-0.218,-0.865,1.1122,-1.851,"Down"
"30",2001,-1.851,-1.736,-1.891,0.812,-0.218,1.2085,-0.195,"Down"
"31",2001,-0.195,-1.851,-1.736,-1.891,0.812,1.3659,-0.556,"Down"
"32",2001,-0.556,-0.195,-1.851,-1.736,-1.891,1.2313,1.749,"Up"
"33",2001,1.749,-0.556,-0.195,-1.851,-1.736,1.1308,-0.766,"Down"
"34",2001,-0.766,1.749,-0.556,-0.195,-1.851,1.1141,-1.431,"Down"
"35",2001,-1.431,-0.766,1.749,-0.556,-0.195,1.2253,0.104,"Up"
"36",2001,0.104,-1.431,-0.766,1.749,-0.556,1.2949,-0.568,"Down"
"37",2001,-0.568,0.104,-1.431,-0.766,1.749,1.294,0.586,"Up"
"38",2001,0.586,-0.568,0.104,-1.431,-0.766,0.9292,0.998,"Up"
"39",2001,0.998,0.586,-0.568,0.104,-1.431,1.0918,0.645,"Up"
"40",2001,0.645,0.998,0.586,-0.568,0.104,1.1322,0.226,"Up"
"41",2001,0.226,0.645,0.998,0.586,-0.568,1.1141,-2.476,"Down"
"42",2001,-2.476,0.226,0.645,0.998,0.586,1.0859,-4.318,"Down"
"43",2001,-4.318,-2.476,0.226,0.645,0.998,1.229,1.483,"Up"
"44",2001,1.483,-4.318,-2.476,0.226,0.645,1.3609,-2.584,"Down"
"45",2001,-2.584,1.483,-4.318,-2.476,0.226,1.3974,0.587,"Up"
"46",2001,0.587,-2.584,1.483,-4.318,-2.476,1.2595,-1.962,"Down"
"47",2001,-1.962,0.587,-2.584,1.483,-4.318,1.54356,1.763,"Up"
"48",2001,1.763,-1.962,0.587,-2.584,1.483,1.1262,-2.408,"Down"
"49",2001,-2.408,1.763,-1.962,0.587,-2.584,1.2359,-1.792,"Down"
"50",2001,-1.792,-2.408,1.763,-1.962,0.587,1.3463,-0.406,"Down"
"51",2001,-0.406,-1.792,-2.408,1.763,-1.962,1.72395,1.991,"Up"
"52",2001,1.991,-0.406,-1.792,-2.408,1.763,1.3649,1.128,"Up"
"53",2001,1.128,1.991,-0.406,-1.792,-2.408,1.114,2.557,"Up"
"54",2001,2.557,1.128,1.991,-0.406,-1.792,1.3142,-2.443,"Down"
"55",2001,-2.443,2.557,1.128,1.991,-0.406,1.3334,-0.463,"Down"
"56",2001,-0.463,-2.443,2.557,1.128,1.991,1.2345,1.078,"Up"
"57",2001,1.078,-0.463,-2.443,2.557,1.128,1.2808,-1.246,"Down"
"58",2001,-1.246,1.078,-0.463,-2.443,2.557,1.2549,-3.439,"Down"
"59",2001,-3.439,-1.246,1.078,-0.463,-2.443,1.3861,-0.29,"Down"
"60",2001,-0.29,-3.439,-1.246,1.078,-0.463,1.42559,4.368,"Up"
"61",2001,4.368,-0.29,-3.439,-1.246,1.078,1.368,-1.998,"Down"
"62",2001,-1.998,4.368,-0.29,-3.439,-1.246,1.2668,0.812,"Up"
"63",2001,0.812,-1.998,4.368,-0.29,-3.439,1.0628,2.707,"Up"
"64",2001,2.707,0.812,-1.998,4.368,-0.29,1.3496,-0.213,"Down"
"65",2001,-0.213,2.707,0.812,-1.998,4.368,1.2903,1.51,"Up"
"66",2001,1.51,-0.213,2.707,0.812,-1.998,1.102,-0.323,"Down"
"67",2001,-0.323,1.51,-0.213,2.707,0.812,0.9139,1.028,"Up"
"68",2001,1.028,-0.323,1.51,-0.213,2.707,1.1096,3.889,"Up"
"69",2001,3.889,1.028,-0.323,1.51,-0.213,1.9189,1.254,"Up"
"70",2001,1.254,3.889,1.028,-0.323,1.51,1.4868,-0.854,"Down"
"71",2001,-0.854,1.254,3.889,1.028,-0.323,1.3387,-1.498,"Down"
"72",2001,-1.498,-0.854,1.254,3.889,1.028,1.0126,-1.216,"Down"
"73",2001,-1.216,-1.498,-0.854,1.254,3.889,1.2165,1.594,"Up"
"74",2001,1.594,-1.216,-1.498,-0.854,1.254,1.2036,0.47,"Up"
"75",2001,0.47,1.594,-1.216,-1.498,-0.854,1.3452,1.501,"Up"
"76",2001,1.501,0.47,1.594,-1.216,-1.498,1.0913,-0.287,"Down"
"77",2001,-0.287,1.501,0.47,1.594,-1.216,1.2668,1.359,"Up"
"78",2001,1.359,-0.287,1.501,0.47,1.594,1.1813,0.078,"Up"
"79",2001,0.078,1.359,-0.287,1.501,0.47,1.3422,-1.487,"Down"
"80",2001,-1.487,0.078,1.359,-0.287,1.501,1.1379,1.444,"Up"
"81",2001,1.444,-1.487,0.078,1.359,-0.287,1.0821,-0.245,"Down"
"82",2001,-0.245,1.444,-1.487,0.078,1.359,0.949,-0.183,"Down"
"83",2001,-0.183,-0.245,1.444,-1.487,0.078,1.0063,-0.449,"Down"
"84",2001,-0.449,-0.183,-0.245,1.444,-1.487,1.1324,-0.029,"Down"
"85",2001,-0.029,-0.449,-0.183,-0.245,1.444,1.0567,-0.758,"Down"
"86",2001,-0.758,-0.029,-0.449,-0.183,-0.245,0.9062,0.261,"Up"
"87",2001,0.261,-0.758,-0.029,-0.449,-0.183,0.8582,0.042,"Up"
"88",2001,0.042,0.261,-0.758,-0.029,-0.449,1.0718,2.845,"Up"
"89",2001,2.845,0.042,0.261,-0.758,-0.029,1.4053,0.272,"Up"
"90",2001,0.272,2.845,0.042,0.261,-0.758,1.3556,0.269,"Up"
"91",2001,0.269,0.272,2.845,0.042,0.261,1.1308,1.615,"Up"
"92",2001,1.615,0.269,0.272,2.845,0.042,1.1749,-0.263,"Down"
"93",2001,-0.263,1.615,0.269,0.272,2.845,1.2604,-1.553,"Down"
"94",2001,-1.553,-0.263,1.615,0.269,0.272,1.1348,0.32,"Up"
"95",2001,0.32,-1.553,-0.263,1.615,0.269,1.1007,-1.182,"Down"
"96",2001,-1.182,0.32,-1.553,-0.263,1.615,0.8281,-0.779,"Down"
